Key,english
ScrapMagazine,"Scrap Magazine Notes"
ScrapMagazineDesc,"Valuable Scrap Notes from magazines.\n\nCombine three into any crafting skill magazine."
ZombieScoutScreamerEasy,"Screamer"
ZombieScoutScreamerMedium,"Screamer"
ZombieScoutScreamerHard,"Screamer"
ZombieScoutScreamerFeralEasy,"Feral Screamer"
ZombieScoutScreamerFeralMedium,"Feral Screamer"
ZombieScoutScreamerFeralHard,"Feral Screamer"
ZombieScoutScreamerRadiatedEasy,"Radiated Screamer"
ZombieScoutScreamerRadiatedMedium,"Radiated Screamer"
ZombieScoutScreamerRadiatedHard,"Radiated Screamer"
craftingLaunchersName,"Launchers"
craftingLaunchersDesc,Reading [DECEA3]Launchers Magazine[-] will unlock various Rocket launchers.\nBoost loot odds with [DECEA3]Demolitions Expert[-],,
LaunchersSkillMagazine,"Launchers Magazine"
LaunchersSkillMagazineDesc,"Blowing stuff up is our business, and business is good! If it goes boom, we cover it in this explosive issue!\n\nImproves Launchers crafting skill."
RawCopper,Scrap Copper
RawCopperDesc,"Raw Copper is a material obtained only in the around the biomes.\nIt's used for crafting Tools and Weapons that are made out of Copper"
meleeToolCopperFireaxe,Copper Fireaxe
meleeToolCopperFireaxeDesc,"The Copper Fireaxe is good for harvesting wood and has a better chance to dismember than most weapons.\n\nRepair with Scrap Copper \nScrap to Scrap Copper."
meleeToolCopperPickaxe,Copper Pickaxe
meleeToolCopperPickaxeDesc,"The Copper pickaxe is good for breaking stone and harvesting minerals.\n\nRepair with Scrap Copper \nScrap to Scrap Copper."
meleeToolCopperShovel,Copper Shovel
meleeToolCopperShovelDesc,"The Copper shovel is good for digging through earth, sand or snow.\n\nRepair with Scrap Copper \nScrap to Scrap Copper."
meleeWpnCopperT0Sledgehammer,Copper Sledgehammer,,
meleeWpnCopperT0SledgehammerDesc,"A lump of metal with bits of Copper hammered into it. Makes it slightly more durable.\n\nRepair with Scrap Copper \nScrap to Scrap Copper.",,
meleeWpnCopperT0Knuckles,Copper Knuckles,,
meleeWpnCopperT0KnucklesDesc,"Knucles made out of scrap bits of Copper, duct tape and hope. Does slightly more damage than the leather version.\n\nRepair with Scrap Copper \nScrap to Scrap Copper.",,
meleeWpnCopperT0Club,Copper Club,,
meleeWpnCopperT0ClubDesc,"A lump of metal with bits of Copper hammered into it. Makes it slightly more durable.\n\nRepair with Scrap Copper \nScrap to Scrap Copper.",,
meleeWpnCopperT0Spear,Copper Spear,,
